date,datatype,station,attributes,value
1893-01-22T00:00:00,TMAX,GHCND:USC00422721,",,6,",-22
1893-01-22T00:00:00,TMIN,GHCND:USC00422721,",,6,",-133
1893-01-23T00:00:00,PRCP,GHCND:USC00422721,"P,,6,",0
1893-01-23T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-01-23T00:00:00,TMAX,GHCND:USC00422721,",,6,",-17
1893-01-23T00:00:00,TMIN,GHCND:USC00422721,",,6,",-128
1893-01-23T00:00:00,WT01,GHCND:USC00422721,",,6,",1
1893-01-24T00:00:00,PRCP,GHCND:USC00422721,"P,,6,",0
1893-01-24T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-01-24T00:00:00,TMAX,GHCND:USC00422721,",,6,",-22
1893-01-24T00:00:00,TMIN,GHCND:USC00422721,",,6,",-139
1893-01-25T00:00:00,PRCP,GHCND:USC00422721,"P,,6,",0
1893-01-25T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-01-25T00:00:00,TMAX,GHCND:USC00422721,",,6,",-22
1893-01-25T00:00:00,TMIN,GHCND:USC00422721,",,6,",-128
1893-01-26T00:00:00,PRCP,GHCND:USC00422721,"P,,6,",0
1893-01-26T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-01-26T00:00:00,TMAX,GHCND:USC00422721,",,6,",72
1893-01-26T00:00:00,TMIN,GHCND:USC00422721,",,6,",-78
1893-01-27T00:00:00,PRCP,GHCND:USC00422721,"P,,6,",0
1893-01-27T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-01-27T00:00:00,TMAX,GHCND:USC00422721,",,6,",78
1893-01-27T00:00:00,TMIN,GHCND:USC00422721,",,6,",44
1893-01-28T00:00:00,PRCP,GHCND:USC00422721,",,6,",102
1893-01-28T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-01-28T00:00:00,TMAX,GHCND:USC00422721,",,6,",72
1893-01-28T00:00:00,TMIN,GHCND:USC00422721,",,6,",-50
1893-01-29T00:00:00,PRCP,GHCND:USC00422721,",,6,",114
1893-01-29T00:00:00,SNOW,GHCND:USC00422721,",,6,",165
1893-01-29T00:00:00,TMAX,GHCND:USC00422721,",,6,",22
1893-01-29T00:00:00,TMIN,GHCND:USC00422721,",,6,",-72
1893-01-30T00:00:00,SNOW,GHCND:USC00422721,"T,,6,",0
1893-01-30T00:00:00,TMAX,GHCND:USC00422721,",,6,",72
1893-01-30T00:00:00,TMIN,GHCND:USC00422721,",,6,",-78
1893-01-31T00:00:00,PRCP,GHCND:USC00422721,"P,,6,",0
1893-01-31T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-01-31T00:00:00,TMAX,GHCND:USC00422721,",,6,",-17
1893-01-31T00:00:00,TMIN,GHCND:USC00422721,",,6,",-83
1893-02-01T00:00:00,TMAX,GHCND:USC00422721,",,6,",-61
1893-02-01T00:00:00,TMIN,GHCND:USC00422721,",,6,",-167
1893-02-02T00:00:00,PRCP,GHCND:USC00422721,",,6,",36
1893-02-02T00:00:00,SNOW,GHCND:USC00422721,",,6,",30
1893-02-02T00:00:00,TMAX,GHCND:USC00422721,",,6,",-11
1893-02-02T00:00:00,TMIN,GHCND:USC00422721,",,6,",-139
1893-02-03T00:00:00,TMAX,GHCND:USC00422721,",,6,",22
1893-02-03T00:00:00,TMIN,GHCND:USC00422721,",,6,",-133
1893-02-04T00:00:00,TMAX,GHCND:USC00422721,",,6,",78
1893-02-04T00:00:00,TMIN,GHCND:USC00422721,",,6,",-61
1893-02-05T00:00:00,TMAX,GHCND:USC00422721,",,6,",72
1893-02-05T00:00:00,TMIN,GHCND:USC00422721,",,6,",-22
1893-02-06T00:00:00,TMAX,GHCND:USC00422721,",,6,",11
1893-02-06T00:00:00,TMIN,GHCND:USC00422721,",,6,",-83
1893-02-07T00:00:00,TMAX,GHCND:USC00422721,",,6,",33
1893-02-07T00:00:00,TMIN,GHCND:USC00422721,",,6,",-144
1893-02-08T00:00:00,TMAX,GHCND:USC00422721,",,6,",67
1893-02-08T00:00:00,TMIN,GHCND:USC00422721,",,6,",-100
1893-02-09T00:00:00,TMAX,GHCND:USC00422721,",,6,",39
1893-02-09T00:00:00,TMIN,GHCND:USC00422721,",,6,",-28
1893-02-10T00:00:00,PRCP,GHCND:USC00422721,",,6,",94
1893-02-10T00:00:00,TMAX,GHCND:USC00422721,",,6,",33
1893-02-10T00:00:00,TMIN,GHCND:USC00422721,",,6,",-50
1893-02-11T00:00:00,TMAX,GHCND:USC00422721,",,6,",67
1893-02-11T00:00:00,TMIN,GHCND:USC00422721,",,6,",0
1893-02-12T00:00:00,PRCP,GHCND:USC00422721,",,6,",86
1893-02-12T00:00:00,TMAX,GHCND:USC00422721,",,6,",44
1893-02-12T00:00:00,TMIN,GHCND:USC00422721,",,6,",-17
1893-02-13T00:00:00,TMAX,GHCND:USC00422721,",,6,",0
1893-02-13T00:00:00,TMIN,GHCND:USC00422721,",,6,",-122
1893-02-14T00:00:00,TMAX,GHCND:USC00422721,",,6,",0
1893-02-14T00:00:00,TMIN,GHCND:USC00422721,",,6,",-117
1893-02-15T00:00:00,TMAX,GHCND:USC00422721,",,6,",-11
1893-02-15T00:00:00,TMIN,GHCND:USC00422721,",,6,",-128
1893-02-16T00:00:00,TMAX,GHCND:USC00422721,",,6,",11
1893-02-16T00:00:00,TMIN,GHCND:USC00422721,",,6,",-78
1893-02-17T00:00:00,TMAX,GHCND:USC00422721,",,6,",33
1893-02-17T00:00:00,TMIN,GHCND:USC00422721,",,6,",-172
1893-02-18T00:00:00,TMAX,GHCND:USC00422721,",,6,",17
1893-02-18T00:00:00,TMIN,GHCND:USC00422721,",,6,",-78
1893-02-19T00:00:00,PRCP,GHCND:USC00422721,",,6,",97
1893-02-19T00:00:00,SNOW,GHCND:USC00422721,",,6,",89
1893-02-19T00:00:00,TMAX,GHCND:USC00422721,",,6,",-11
1893-02-19T00:00:00,TMIN,GHCND:USC00422721,",,6,",-72
1893-02-20T00:00:00,TMAX,GHCND:USC00422721,",,6,",28
1893-02-20T00:00:00,TMIN,GHCND:USC00422721,",,6,",-61
1893-02-21T00:00:00,TMAX,GHCND:USC00422721,",,6,",22
1893-02-21T00:00:00,TMIN,GHCND:USC00422721,",,6,",-6
1893-02-22T00:00:00,PRCP,GHCND:USC00422721,",,6,",23
1893-02-22T00:00:00,TMAX,GHCND:USC00422721,",,6,",17
1893-02-22T00:00:00,TMIN,GHCND:USC00422721,",,6,",-56
1893-02-23T00:00:00,TMAX,GHCND:USC00422721,",,6,",22
1893-02-23T00:00:00,TMIN,GHCND:USC00422721,",,6,",-78
1893-02-24T00:00:00,TMAX,GHCND:USC00422721,",,6,",-11
1893-02-24T00:00:00,TMIN,GHCND:USC00422721,",,6,",-89
1893-02-25T00:00:00,PRCP,GHCND:USC00422721,",,6,",48
1893-02-25T00:00:00,TMAX,GHCND:USC00422721,",,6,",0
1893-02-25T00:00:00,TMIN,GHCND:USC00422721,",,6,",-111
1893-02-26T00:00:00,TMAX,GHCND:USC00422721,",,6,",-17
1893-02-26T00:00:00,TMIN,GHCND:USC00422721,",,6,",-122
1893-02-27T00:00:00,PRCP,GHCND:USC00422721,",,6,",23
1893-02-27T00:00:00,TMAX,GHCND:USC00422721,",,6,",-17
1893-02-27T00:00:00,TMIN,GHCND:USC00422721,",,6,",-72
1893-02-28T00:00:00,TMAX,GHCND:USC00422721,",,6,",22
1893-02-28T00:00:00,TMIN,GHCND:USC00422721,",,6,",-83
1893-03-01T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-03-01T00:00:00,TMAX,GHCND:USC00422721,",,6,",67
1893-03-01T00:00:00,TMIN,GHCND:USC00422721,",,6,",-44
1893-03-02T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-03-02T00:00:00,TMAX,GHCND:USC00422721,",,6,",67
1893-03-02T00:00:00,TMIN,GHCND:USC00422721,",,6,",-67
1893-03-03T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-03-03T00:00:00,TMAX,GHCND:USC00422721,",,6,",67
1893-03-03T00:00:00,TMIN,GHCND:USC00422721,",,6,",-72
1893-03-04T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-03-04T00:00:00,TMAX,GHCND:USC00422721,",,6,",83
1893-03-04T00:00:00,TMIN,GHCND:USC00422721,",,6,",-61
1893-03-05T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-03-05T00:00:00,TMAX,GHCND:USC00422721,",,6,",83
1893-03-05T00:00:00,TMIN,GHCND:USC00422721,",,6,",-6
1893-03-06T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-03-06T00:00:00,TMAX,GHCND:USC00422721,",,6,",33
1893-03-06T00:00:00,TMIN,GHCND:USC00422721,",,6,",-22
1893-03-07T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-03-07T00:00:00,TMAX,GHCND:USC00422721,",,6,",44
1893-03-07T00:00:00,TMIN,GHCND:USC00422721,",,6,",-28
1893-03-08T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-03-08T00:00:00,TMAX,GHCND:USC00422721,",,6,",50
1893-03-08T00:00:00,TMIN,GHCND:USC00422721,",,6,",-28
1893-03-09T00:00:00,SNOW,GHCND:USC00422721,",,6,",76
1893-03-09T00:00:00,TMAX,GHCND:USC00422721,",,6,",44
1893-03-09T00:00:00,TMIN,GHCND:USC00422721,",,6,",-17
1893-03-10T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-03-10T00:00:00,TMAX,GHCND:USC00422721,",,6,",11
1893-03-10T00:00:00,TMIN,GHCND:USC00422721,",,6,",-72
1893-03-11T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-03-11T00:00:00,TMAX,GHCND:USC00422721,",,6,",72
1893-03-11T00:00:00,TMIN,GHCND:USC00422721,",,6,",-28
1893-03-12T00:00:00,PRCP,GHCND:USC00422721,",,6,",94
1893-03-12T00:00:00,SNOW,GHCND:USC00422721,",,6,",89
1893-03-12T00:00:00,TMAX,GHCND:USC00422721,",,6,",56
1893-03-12T00:00:00,TMIN,GHCND:USC00422721,",,6,",-33
1893-03-13T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-03-13T00:00:00,TMAX,GHCND:USC00422721,",,6,",6
1893-03-13T00:00:00,TMIN,GHCND:USC00422721,",,6,",-56
1893-03-14T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-03-14T00:00:00,TMAX,GHCND:USC00422721,",,6,",17
1893-03-14T00:00:00,TMIN,GHCND:USC00422721,",,6,",-56
1893-03-15T00:00:00,PRCP,GHCND:USC00422721,",,6,",117
1893-03-15T00:00:00,SNOW,GHCND:USC00422721,",,6,",114
1893-03-15T00:00:00,TMAX,GHCND:USC00422721,",,6,",61
1893-03-15T00:00:00,TMIN,GHCND:USC00422721,",,6,",-22
1893-03-16T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-03-16T00:00:00,TMAX,GHCND:USC00422721,",,6,",50
1893-03-16T00:00:00,TMIN,GHCND:USC00422721,",,6,",-28
1893-03-17T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-03-17T00:00:00,TMAX,GHCND:USC00422721,",,6,",67
1893-03-17T00:00:00,TMIN,GHCND:USC00422721,",,6,",-22
1893-03-18T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-03-18T00:00:00,TMAX,GHCND:USC00422721,",,6,",94
1893-03-18T00:00:00,TMIN,GHCND:USC00422721,",,6,",33
1893-03-19T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-03-19T00:00:00,TMAX,GHCND:USC00422721,",,6,",89
1893-03-19T00:00:00,TMIN,GHCND:USC00422721,",,6,",11
1893-03-20T00:00:00,PRCP,GHCND:USC00422721,",,6,",10
1893-03-20T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-03-20T00:00:00,TMAX,GHCND:USC00422721,",,6,",39
1893-03-20T00:00:00,TMIN,GHCND:USC00422721,",,6,",0
1893-03-21T00:00:00,PRCP,GHCND:USC00422721,",,6,",231
1893-03-21T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-03-21T00:00:00,TMAX,GHCND:USC00422721,",,6,",72
1893-03-21T00:00:00,TMIN,GHCND:USC00422721,",,6,",0
1893-03-22T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-03-22T00:00:00,TMAX,GHCND:USC00422721,",,6,",56
1893-03-22T00:00:00,TMIN,GHCND:USC00422721,",,6,",6
1893-03-23T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-03-23T00:00:00,TMAX,GHCND:USC00422721,",,6,",67
1893-03-23T00:00:00,TMIN,GHCND:USC00422721,",,6,",0
1893-03-24T00:00:00,PRCP,GHCND:USC00422721,",,6,",58
1893-03-24T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-03-24T00:00:00,TMAX,GHCND:USC00422721,",,6,",61
1893-03-24T00:00:00,TMIN,GHCND:USC00422721,",,6,",0
1893-03-25T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-03-25T00:00:00,TMAX,GHCND:USC00422721,",,6,",83
1893-03-25T00:00:00,TMIN,GHCND:USC00422721,",,6,",0
1893-03-26T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-03-26T00:00:00,TMAX,GHCND:USC00422721,",,6,",100
1893-03-26T00:00:00,TMIN,GHCND:USC00422721,",,6,",17
1893-03-27T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-03-27T00:00:00,TMAX,GHCND:USC00422721,",,6,",122
1893-03-27T00:00:00,TMIN,GHCND:USC00422721,",,6,",17
1893-03-28T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-03-28T00:00:00,TMAX,GHCND:USC00422721,",,6,",122
1893-03-28T00:00:00,TMIN,GHCND:USC00422721,",,6,",17
1893-03-29T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-03-29T00:00:00,TMAX,GHCND:USC00422721,",,6,",211
1893-03-29T00:00:00,TMIN,GHCND:USC00422721,",,6,",39
1893-03-30T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-03-30T00:00:00,TMAX,GHCND:USC00422721,",,6,",189
1893-03-30T00:00:00,TMIN,GHCND:USC00422721,",,6,",117
1893-03-31T00:00:00,SNOW,GHCND:USC00422721,",,6,",0
1893-03-31T00:00:00,TMAX,GHCND:USC00422721,",,6,",167
1893-03-31T00:00:00,TMIN,GHCND:USC00422721,",,6,",50
1893-04-01T00:00:00,TMAX,GHCND:USC00422721,",,6,",156
1893-04-01T00:00:00,TMIN,GHCND:USC00422721,",,6,",11
1893-04-02T00:00:00,TMAX,GHCND:USC00422721,",,6,",178
1893-04-02T00:00:00,TMIN,GHCND:USC00422721,",,6,",89
1893-04-03T00:00:00,TMAX,GHCND:USC00422721,",,6,",183
1893-04-03T00:00:00,TMIN,GHCND:USC00422721,",,6,",56
1893-04-04T00:00:00,TMAX,GHCND:USC00422721,",,6,",178
1893-04-04T00:00:00,TMIN,GHCND:USC00422721,",,6,",106
1893-04-05T00:00:00,TMAX,GHCND:USC00422721,",,6,",189
1893-04-05T00:00:00,TMIN,GHCND:USC00422721,",,6,",50
1893-04-06T00:00:00,TMAX,GHCND:USC00422721,",,6,",178
1893-04-06T00:00:00,TMIN,GHCND:USC00422721,",,6,",6
1893-04-07T00:00:00,TMAX,GHCND:USC00422721,",,6,",61
1893-04-07T00:00:00,TMIN,GHCND:USC00422721,",,6,",-6
1893-04-08T00:00:00,SNOW,GHCND:USC00422721,",,6,",76
1893-04-08T00:00:00,TMAX,GHCND:USC00422721,",,6,",94
1893-04-08T00:00:00,TMIN,GHCND:USC00422721,",,6,",-22
1893-04-09T00:00:00,TMAX,GHCND:USC00422721,",,6,",78
1893-04-09T00:00:00,TMIN,GHCND:USC00422721,",,6,",-17
1893-04-10T00:00:00,PRCP,GHCND:USC00422721,",,6,",97
1893-04-10T00:00:00,TMAX,GHCND:USC00422721,",,6,",89
1893-04-10T00:00:00,TMIN,GHCND:USC00422721,",,6,",11
1893-04-11T00:00:00,TMAX,GHCND:USC00422721,",,6,",83
1893-04-11T00:00:00,TMIN,GHCND:USC00422721,",,6,",-17
1893-04-12T00:00:00,TMAX,GHCND:USC00422721,",,6,",61
1893-04-12T00:00:00,TMIN,GHCND:USC00422721,",,6,",0
1893-04-13T00:00:00,TMAX,GHCND:USC00422721,",,6,",50
1893-04-13T00:00:00,TMIN,GHCND:USC00422721,",,6,",-17
1893-04-14T00:00:00,TMAX,GHCND:USC00422721,",,6,",89
1893-04-14T00:00:00,TMIN,GHCND:USC00422721,",,6,",-6
1893-04-15T00:00:00,TMAX,GHCND:USC00422721,",,6,",89
1893-04-15T00:00:00,TMIN,GHCND:USC00422721,",,6,",-6
1893-04-16T00:00:00,TMAX,GHCND:USC00422721,",,6,",150
1893-04-16T00:00:00,TMIN,GHCND:USC00422721,",,6,",17
1893-04-17T00:00:00,TMAX,GHCND:USC00422721,",,6,",144
1893-04-17T00:00:00,TMIN,GHCND:USC00422721,",,6,",50
1893-04-18T00:00:00,TMAX,GHCND:USC00422721,",,6,",111
1893-04-18T00:00:00,TMIN,GHCND:USC00422721,",,6,",6
1893-04-19T00:00:00,TMAX,GHCND:USC00422721,",,6,",106
1893-04-19T00:00:00,TMIN,GHCND:USC00422721,",,6,",-17
1893-04-20T00:00:00,TMAX,GHCND:USC00422721,",,6,",117
1893-04-20T00:00:00,TMIN,GHCND:USC00422721,",,6,",44
1893-04-21T00:00:00,TMAX,GHCND:USC00422721,",,6,",139
1893-04-21T00:00:00,TMIN,GHCND:USC00422721,",,6,",78
1893-04-22T00:00:00,TMAX,GHCND:USC00422721,",,6,",217
1893-04-22T00:00:00,TMIN,GHCND:USC00422721,",,6,",72
1893-04-23T00:00:00,PRCP,GHCND:USC00422721,",,6,",119
