date,PRCP,SNOW,SNWD,TMAX,TMIN,attribute_PRCP,attribute_SNOW,attribute_SNWD,attribute_TMAX,attribute_TMIN
1893-03-06T00:00:00,,0.0,,33.0,-22.0,,",,6,",,",,6,",",,6,"
1893-03-07T00:00:00,,0.0,,44.0,-28.0,,",,6,",,",,6,",",,6,"
1893-03-08T00:00:00,,0.0,,50.0,-28.0,,",,6,",,",,6,",",,6,"
1893-03-09T00:00:00,,76.0,,44.0,-17.0,,",,6,",,",,6,",",,6,"
1893-03-10T00:00:00,,0.0,,11.0,-72.0,,",,6,",,",,6,",",,6,"
1893-03-11T00:00:00,,0.0,,72.0,-28.0,,",,6,",,",,6,",",,6,"
1893-03-12T00:00:00,94.0,89.0,,56.0,-33.0,",,6,",",,6,",,",,6,",",,6,"
1893-03-13T00:00:00,,0.0,,6.0,-56.0,,",,6,",,",,6,",",,6,"
1893-03-14T00:00:00,,0.0,,17.0,-56.0,,",,6,",,",,6,",",,6,"
1893-03-15T00:00:00,117.0,114.0,,61.0,-22.0,",,6,",",,6,",,",,6,",",,6,"
1893-03-16T00:00:00,,0.0,,50.0,-28.0,,",,6,",,",,6,",",,6,"
1893-03-17T00:00:00,,0.0,,67.0,-22.0,,",,6,",,",,6,",",,6,"
1893-03-18T00:00:00,,0.0,,94.0,33.0,,",,6,",,",,6,",",,6,"
1893-03-19T00:00:00,,0.0,,89.0,11.0,,",,6,",,",,6,",",,6,"
1893-03-20T00:00:00,10.0,0.0,,39.0,0.0,",,6,",",,6,",,",,6,",",,6,"
1893-03-21T00:00:00,231.0,0.0,,72.0,0.0,",,6,",",,6,",,",,6,",",,6,"
1893-03-22T00:00:00,,0.0,,56.0,6.0,,",,6,",,",,6,",",,6,"
1893-03-23T00:00:00,,0.0,,67.0,0.0,,",,6,",,",,6,",",,6,"
1893-03-24T00:00:00,58.0,0.0,,61.0,0.0,",,6,",",,6,",,",,6,",",,6,"
1893-03-25T00:00:00,,0.0,,83.0,0.0,,",,6,",,",,6,",",,6,"
1893-03-26T00:00:00,,0.0,,100.0,17.0,,",,6,",,",,6,",",,6,"
1893-03-27T00:00:00,,0.0,,122.0,17.0,,",,6,",,",,6,",",,6,"
1893-03-28T00:00:00,,0.0,,122.0,17.0,,",,6,",,",,6,",",,6,"
1893-03-29T00:00:00,,0.0,,211.0,39.0,,",,6,",,",,6,",",,6,"
1893-03-30T00:00:00,,0.0,,189.0,117.0,,",,6,",,",,6,",",,6,"
1893-03-31T00:00:00,,0.0,,167.0,50.0,,",,6,",,",,6,",",,6,"
1893-04-01T00:00:00,,,,156.0,11.0,,,,",,6,",",,6,"
1893-04-02T00:00:00,,,,178.0,89.0,,,,",,6,",",,6,"
1893-04-03T00:00:00,,,,183.0,56.0,,,,",,6,",",,6,"
1893-04-04T00:00:00,,,,178.0,106.0,,,,",,6,",",,6,"
1893-04-05T00:00:00,,,,189.0,50.0,,,,",,6,",",,6,"
1893-04-06T00:00:00,,,,178.0,6.0,,,,",,6,",",,6,"
1893-04-07T00:00:00,,,,61.0,-6.0,,,,",,6,",",,6,"
1893-04-08T00:00:00,,76.0,,94.0,-22.0,,",,6,",,",,6,",",,6,"
1893-04-09T00:00:00,,,,78.0,-17.0,,,,",,6,",",,6,"
1893-04-10T00:00:00,97.0,,,89.0,11.0,",,6,",,,",,6,",",,6,"
1893-04-11T00:00:00,,,,83.0,-17.0,,,,",,6,",",,6,"
1893-04-12T00:00:00,,,,61.0,0.0,,,,",,6,",",,6,"
1893-04-13T00:00:00,,,,50.0,-17.0,,,,",,6,",",,6,"
1893-04-14T00:00:00,,,,89.0,-6.0,,,,",,6,",",,6,"
1893-04-15T00:00:00,,,,89.0,-6.0,,,,",,6,",",,6,"
1893-04-16T00:00:00,,,,150.0,17.0,,,,",,6,",",,6,"
1893-04-17T00:00:00,,,,144.0,50.0,,,,",,6,",",,6,"
1893-04-18T00:00:00,,,,111.0,6.0,,,,",,6,",",,6,"
1893-04-19T00:00:00,,,,106.0,-17.0,,,,",,6,",",,6,"
1893-04-20T00:00:00,,,,117.0,44.0,,,,",,6,",",,6,"
1893-04-21T00:00:00,,,,139.0,78.0,,,,",,6,",",,6,"
1893-04-22T00:00:00,,,,217.0,72.0,,,,",,6,",",,6,"
1893-04-23T00:00:00,119.0,,,161.0,11.0,",,6,",,,",,6,",",,6,"
1893-04-24T00:00:00,,,,94.0,-11.0,,,,",,6,",",,6,"
1893-04-25T00:00:00,3.0,,,100.0,39.0,",,6,",,,",,6,",",,6,"
1893-04-26T00:00:00,,,,156.0,72.0,,,,",,6,",",,6,"
1893-04-27T00:00:00,,,,144.0,83.0,,,,",,6,",",,6,"
